Mineral,id,xcoord,ycoord
Copper,9,17.16299417,-28.32424654
Copper,9,17.20234799,-28.31267188
Copper,9,17.26716603,-28.3520257
Copper,9,16.93613101,-28.36823021
Copper,9,16.90372199,-28.35665556
Copper,9,16.86784057,-28.31267188
Copper,9,16.91761157,-28.26868821
Copper,9,17.5704219,-29.58125366
Copper,9,17.54958752,-29.68426805
Copper,9,17.59820106,-29.67500833
Copper,9,17.72667969,-29.61829254
Copper,9,17.75214392,-29.5766238
Copper,9,17.74404166,-29.53264012
Copper,9,17.7695059,-29.61134775
Copper,9,17.81001718,-29.62523733
Copper,9,17.86094564,-29.61250521
Copper,9,17.84705606,-29.68079566
Copper,9,17.92807862,-29.66574861
Copper,9,17.99521159,-29.58588352
Copper,9,17.99521159,-29.55463196
Copper,9,17.92576369,-29.56273421
Copper,9,17.96164511,-29.5465297
Copper,9,17.90029945,-29.53842745
Copper,9,17.88756734,-29.50949082
Copper,9,17.85631578,-29.49791617
Copper,9,19.63302474,-29.33934345
Copper,9,20.13073474,-29.31619414
Diamond (Alluvial),4,29.87160505,-22.21350114
Diamond (Alluvial),4,29.18783306,-22.32280299
Diamond (Alluvial),4,29.19545877,-22.36093154
Diamond (Alluvial),4,28.54981533,-25.51034974
Diamond (Alluvial),4,28.44686825,-25.64888347
Diamond (Alluvial),4,25.66094222,-25.93993139
Diamond (Alluvial),4,25.98630584,-25.96026662
Diamond (Alluvial),4,25.98376394,-25.99585327
Diamond (Alluvial),4,25.98630584,-26.04414943
Diamond (Alluvial),4,26.15407146,-26.04160753
Diamond (Alluvial),4,26.20745143,-26.08736179
Diamond (Alluvial),4,26.30150185,-26.05177514
Diamond (Alluvial),4,26.37267515,-26.0238142
Diamond (Alluvial),4,26.49722841,-26.0975294
Diamond (Alluvial),4,26.46418367,-26.27292073
Diamond (Alluvial),4,26.60398835,-26.07211037
Diamond (Alluvial),4,26.7209159,-26.08227798
Diamond (Alluvial),4,26.78954729,-26.10515511
Diamond (Alluvial),4,26.93189387,-26.19412173
Diamond (Alluvial),4,26.98781575,-26.24495979
Diamond (Alluvial),4,27.04119572,-26.16361889
Diamond (Alluvial),4,27.1784585,-26.18395411
Diamond (Alluvial),4,27.22675466,-26.13819985
Diamond (Alluvial),4,27.41993931,-26.18395411
Diamond (Alluvial),4,27.07424046,-26.46102157
Diamond (Alluvial),4,27.13016233,-26.35934544
Diamond (Alluvial),4,26.91918436,-26.4050997
Diamond (Alluvial),4,27.4885707,-26.84739088
Diamond (Alluvial),4,27.62837538,-26.72029571
Diamond (Alluvial),4,27.69192296,-26.74571474
Diamond (Alluvial),4,26.62432357,-27.03549172
Diamond (Alluvial),4,26.60653025,-27.00244698
Diamond (Alluvial),4,26.27099901,-27.0227822
Diamond (Alluvial),4,26.15915527,-27.05074314
Diamond (Alluvial),4,26.04985343,-27.03549172
Diamond (Alluvial),4,26.08035627,-26.97448604
Diamond (Alluvial),4,26.4870608,-27.21596686
Diamond (Alluvial),4,26.31421137,-27.43711244
Diamond (Alluvial),4,26.23032856,-27.51845335
Diamond (Alluvial),4,26.09814959,-27.56420761
Diamond (Alluvial),4,26.09814959,-27.68367706
Diamond (Alluvial),4,26.0269763,-27.64300661
Diamond (Alluvial),4,25.91767445,-27.58454284
Diamond (Alluvial),4,25.8795459,-27.49557622
Diamond (Alluvial),4,25.89733923,-27.4015258
Diamond (Alluvial),4,26.03714391,-27.36339725
Diamond (Alluvial),4,25.99901536,-27.29730776
Diamond (Alluvial),4,25.85666878,-27.26172111
Diamond (Alluvial),4,25.78295358,-27.1727545
Diamond (Alluvial),4,25.74990884,-27.26934682
Diamond (Alluvial),4,25.7956631,-27.34306202
Diamond (Alluvial),4,25.45758996,-27.02532411
Diamond (Alluvial),4,25.35083002,-27.19054782
Diamond (Alluvial),4,25.45758996,-27.3252687
Diamond (Alluvial),4,25.57705941,-27.30239157
Diamond (Alluvial),4,25.60502035,-27.43711244
Diamond (Alluvial),4,25.62027177,-27.54895619
Diamond (Alluvial),4,25.59485273,-27.64300661
Diamond (Alluvial),4,25.52367944,-27.66079993
Diamond (Alluvial),4,25.47792518,-27.5565819
Diamond (Alluvial),4,25.48555089,-27.50828574
Diamond (Alluvial),4,25.44996425,-27.49811812
Diamond (Alluvial),4,25.44742234,-27.41677722
