,year_month,Aluminium_price,Copper_price,Gold_price,Lead_price,Nickel_price,Platinum_price,Uranium_price,Zinc_price,Iron_price,Coal_price,Titanium_price,Diamond_price
0,2012-01,3.337483031547738,3.90544249503928,3.2192096729817288,3.323124362164618,4.2996127335518075,3.1783849779477387,1.7582114630749777,3.299378712810356,2.1469338345627635,2.0263698115737183,1.062085363840253,2.3684728384403617
1,2012-02,3.3513959400253026,3.925450841181573,3.2409439036864143,3.3268195391371127,4.309595901009936,3.220631019448092,1.7560272129734413,3.3135850280396784,2.1473671077937864,2.0224283711854865,1.062085363840253,2.370698092575577
2,2012-03,3.3473433234219927,3.927218664823879,3.2242900326714263,3.313346943747108,4.271059394152838,3.2198523355490902,1.7465988199728,3.3087978435166012,2.160348460761097,2.0146465246840317,1.0569048513364727,2.3681008517093516
3,2012-04,3.319533401301245,3.916960676037259,3.2175885571021365,3.31678626858156,4.2526841966741324,3.200761606307686,1.7452049562711491,3.3016128161921867,2.1692040365236194,2.0057380426514246,1.0571219443087028,2.356790460351716
4,2012-05,3.3099678823894574,3.8996171245205864,3.2007539351939975,3.3007190677235334,4.2294357530554905,3.1668675216764752,1.7485051717594016,3.284850058787689,2.1354824913357118,1.9720639160080222,1.0375898256997873,2.3510228525841237
5,2012-06,3.2845381527127158,3.870097209968818,3.204366142341364,3.2677513068752564,4.220515038066413,3.1608149766744487,1.735389761495564,3.2689056873366815,2.1292386101319267,1.930999941956152,1.0202203627225839,2.351603072419129
6,2012-07,3.280097002746741,3.880206662633273,3.202388983191927,3.274692407979607,4.2077315422371395,3.1543340448987727,1.7341900259159988,3.266810591012145,2.107006346381544,1.9411634601584733,1.0221065523623847,2.3469394626989906
7,2012-08,3.272401657819057,3.874895066750282,3.2121844766383574,3.278253978918864,4.1960101608872815,3.1644110509670553,1.7216135059194169,3.2592745231285494,2.031408464251624,1.9499264436679122,1.0195109242605995,2.343014497150768
8,2012-09,3.315513781641321,3.9067860750446894,3.242206634145091,3.3381852737081736,4.237904670806118,3.2111071863638494,1.7043311717849594,3.303423192366724,1.9976921179417266,1.933588510196653,1.0202203627225839,2.3372595397502756
9,2012-10,3.301671522147437,3.9068477959102297,3.2416835293766577,3.3307887000153027,4.234693120231039,3.2133329360846545,1.6742137658703138,3.279732888491389,2.0567143295163945,1.91803033678488,1.0249205653301143,2.342620042553348
10,2012-11,3.2925933444675697,3.88616372756235,3.2362781739609585,3.338974422203817,4.213266730589588,3.197978753230736,1.6468236725718939,3.2818325931483376,2.0804460946110486,1.9331834791746139,1.028876127736229,2.338854746252323
11,2012-12,3.3219035273364934,3.901053751307174,3.2260740397059418,3.357908279235456,4.24176687472462,3.198840294922507,1.672167154717808,3.309829117463493,2.1089369235882596,1.9486085498764363,1.0077563102250189,2.3372595397502756
12,2013-01,3.3170466408210912,3.905756642504412,3.222885814106255,3.368354344524647,4.243028922766105,3.2151919960604873,1.6637009253896482,3.3080324967619603,2.1775076421949167,1.9351544472161684,1.014272659768,2.336259552014193
13,2013-02,3.3211995745591754,3.9068990965322357,3.2113819473787895,3.373726093704041,4.247409937746227,3.2234180569052944,1.6680178808933614,3.3278688542880297,2.1893218410204964,1.9300826333923713,0.9964241039550911,2.3344537511509307
14,2013-03,3.2907022432878543,3.8843931580985673,3.202395672220677,3.337385574734621,4.223710594998926,3.1997963016777184,1.6586790285824489,3.2854824823986992,2.1457245748806684,1.9178729551988478,0.9865791692850604,2.3330440298234874
15,2013-04,3.2763250055826707,3.8575349476556267,3.1717975673738974,3.3064386102109697,4.193994330900545,3.1728681816193167,1.6486039281352811,3.2686589711249496,2.1379551235323606,1.9139197649514659,1.0013875234866412,2.3328422669943514
16,2013-05,3.2693098605191477,3.858836544688296,3.1511829852033015,3.307882788115568,4.1745674137399496,3.1698660261160456,1.6431609551708168,3.2627989058424123,2.0934567074986035,1.9127002081908604,0.9741477092439389,2.3372595397502756
17,2013-06,3.2687417374124763,3.845349237732166,3.12768455087194,3.322488473875785,4.155064427387652,3.155764970321562,1.643032984773319,3.2650317311627615,2.0600175425316003,1.8881233072979084,0.9954245765129646,2.335858911319818
18,2013-07,3.2587881905417575,3.839230675290503,3.1097645431510843,3.3115978001768944,4.138364325845192,3.1475150213891765,1.6027996358131347,3.264470618108895,2.104452967322291,1.8611758355130288,0.9817008471343848,2.334051440346892
19,2013-08,3.269937267145568,3.8565874704335883,3.131439007615581,3.3372846526491133,4.1555587677700965,3.176600784002187,1.574320700915308,3.2779222038603146,2.136910727481376,1.8627870982353443,1.0211644815333214,2.3334472744967503
20,2013-09,3.2550311633455515,3.855015547144004,3.1305067207097017,3.319122226646289,4.139957411196309,3.163212215042699,1.564488523410793,3.2665956408006105,2.1277201528923193,1.8639173769578605,1.013073281811836,2.3324384599156054
21,2013-10,3.267503319072794,3.8567354558300493,3.1195502912903335,3.325546805661973,4.149837611972568,3.151351460536374,1.5672565779226824,3.275379065344282,2.1224452562819556,1.9066043717249803,1.0334840699765826,2.3298045221640695
22,2013-11,3.2512963041845655,3.8492599647868966,3.1053769969283134,3.3201748819126538,4.13626412948706,3.1511946785270646,1.5768895634594802,3.27132948528778,2.1345595774226247,1.9233476564978256,1.0111473607757975,2.3251049829714074
23,2013-12,3.249436848020023,3.85749834112617,3.0867829160171043,3.325925955771466,4.139816140610576,3.133066908301625,1.5662767515300178,3.2930861980480297,2.1328677883190843,1.927473020995276,1.013073281811836,2.3224260524059526
