latitude,longitude,Mineral,id,xcoord,ycoord,n,distance,feature_x,feature_y,nearest_x,nearest_y,left,bottom,right,top,Grid_id,ADM3
-34.784669999999998,20.031230000000001,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.093862648641506,20.031230000000001,-34.784669999999998,20.936909199999999,-32.896812490000002,20.000000000000000,-34.880000000000003,20.160000000000000,-34.720000000000006,"4518",Cape Agulhas Local Municipality
-34.604759999999999,19.372270000000000,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.316285932930523,19.372270000000000,-34.604759999999999,20.936909199999999,-32.896812490000002,19.359999999999999,-34.720000000000006,19.520000000000000,-34.560000000000002,"4525",Overstrand Local Municipality
-34.583300000000001,19.350000000000001,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.315711754608209,19.350000000000001,-34.583300000000001,20.936909199999999,-32.896812490000002,19.199999999999999,-34.720000000000006,19.359999999999999,-34.560000000000002,"4524",Overstrand Local Municipality
-34.533299999999997,20.033300000000001,Uranium,"16",20.936909199999999,-32.896812490000002,"1",1.869385181472941,20.033300000000001,-34.533299999999997,20.936909199999999,-32.896812490000002,20.000000000000000,-34.560000000000002,20.160000000000000,-34.400000000000006,"4500",Cape Agulhas Local Municipality
-34.474719999999998,19.898060000000001,Uranium,"16",20.936909199999999,-32.896812490000002,"1",1.889179655420580,19.898060000000001,-34.474719999999998,20.936909199999999,-32.896812490000002,19.840000000000000,-34.560000000000002,20.000000000000000,-34.400000000000006,"4496",Cape Agulhas Local Municipality
-34.439369999999997,19.454480000000000,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.139411135025248,19.454480000000000,-34.439369999999997,20.936909199999999,-32.896812490000002,19.359999999999999,-34.560000000000002,19.520000000000000,-34.400000000000006,"4484",Overstrand Local Municipality
-34.417499999999997,19.243160000000000,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.276241827128792,19.243160000000000,-34.417499999999997,20.936909199999999,-32.896812490000002,19.199999999999999,-34.560000000000002,19.359999999999999,-34.400000000000006,"4480",Overstrand Local Municipality
-34.416890000000002,19.165929999999999,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.333881522965645,19.165929999999999,-34.416890000000002,20.936909199999999,-32.896812490000002,19.039999999999999,-34.560000000000002,19.199999999999999,-34.400000000000006,"4475",Overstrand Local Municipality
-34.388610000000000,19.131670000000000,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.341868565923124,19.131670000000000,-34.388610000000000,20.936909199999999,-32.896812490000002,19.039999999999999,-34.400000000000006,19.199999999999999,-34.240000000000002,"4476",Theewaterskloof Local Municipality
-34.368330000000000,21.411110000000001,Uranium,"16",22.011036829999998,-32.966260400000003,"1",1.525028315998755,21.411110000000001,-34.368330000000000,22.011036829999998,-32.966260400000003,21.280000000000001,-34.400000000000006,21.440000000000001,-34.240000000000002,"4419",Hessequa Local Municipality
-34.366700000000002,21.399999999999999,Uranium,"16",22.011036829999998,-32.966260400000003,"1",1.527938834137219,21.399999999999999,-34.366700000000002,22.011036829999998,-32.966260400000003,21.280000000000001,-34.400000000000006,21.440000000000001,-34.240000000000002,"4419",Hessequa Local Municipality
-34.350000000000001,19.033300000000001,Uranium,"16",20.536426270000000,-32.510219139999997,"1",2.375748765418277,19.033300000000001,-34.350000000000001,20.536426270000000,-32.510219139999997,18.879999999999999,-34.400000000000006,19.039999999999999,-34.240000000000002,"4471",Theewaterskloof Local Municipality
-34.349719999999998,21.878609999999998,Gold,"1",23.013549919999999,-33.868127809999997,"1",1.232890773539410,21.878609999999998,-34.349719999999998,23.013549919999999,-33.868127809999997,21.760000000000002,-34.400000000000006,21.920000000000002,-34.240000000000002,"4392",Mossel Bay Local Municipality
-34.236980000000003,19.433060000000001,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.014351352470625,19.433060000000001,-34.236980000000003,20.936909199999999,-32.896812490000002,19.359999999999999,-34.240000000000002,19.520000000000000,-34.080000000000005,"4486",Theewaterskloof Local Municipality
-34.227469999999997,19.198660000000000,Uranium,"16",20.536426270000000,-32.510219139999997,"1",2.176825465975730,19.198660000000000,-34.227469999999997,20.536426270000000,-32.510219139999997,19.039999999999999,-34.240000000000002,19.199999999999999,-34.080000000000005,"4477",Theewaterskloof Local Municipality
-34.216700000000003,19.416699999999999,Uranium,"16",20.936909199999999,-32.896812490000002,"1",2.013240932133718,19.416699999999999,-34.216700000000003,20.936909199999999,-32.896812490000002,19.359999999999999,-34.240000000000002,19.520000000000000,-34.080000000000005,"4486",Theewaterskloof Local Municipality
-34.189880000000002,24.832789999999999,Copper,"9",25.287820589999999,-33.958786740000001,"1",0.510349814003274,24.832789999999999,-34.189880000000002,25.287820589999999,-33.958786740000001,24.800000000000001,-34.240000000000002,24.960000000000001,-34.080000000000005,"4312",Kouga Local Municipality
-34.189430000000002,22.118670000000002,Gold,"1",23.013549919999999,-33.868127809999997,"1",0.950812898796604,22.118670000000002,-34.189430000000002,23.013549919999999,-33.868127809999997,22.079999999999998,-34.240000000000002,22.240000000000002,-34.080000000000005,"4398",Mossel Bay Local Municipality
-34.183300000000003,18.433299999999999,Diamond (Alluvial),"4",18.223333140000001,-31.755806159999999,"1",2.436557494814400,18.433299999999999,-34.183300000000003,18.223333140000001,-31.755806159999999,18.399999999999999,-34.240000000000002,18.560000000000002,-34.080000000000005,"4533",City of Cape Town Metropolitan Municipal
