left,bottom,right,top,Grid_id,ADM3
28.960000000000001,-29.920000000000002,29.120000000000001,-29.760000000000002,"1",Cobham State Forest
29.120000000000001,-29.920000000000002,29.280000000000001,-29.760000000000002,"2",Cobham State Forest
29.120000000000001,-29.760000000000002,29.280000000000001,-29.600000000000001,"3",Cobham State Forest
29.280000000000001,-29.920000000000002,29.440000000000001,-29.760000000000002,"4",Cobham State Forest
29.280000000000001,-29.760000000000002,29.440000000000001,-29.600000000000001,"5",Cobham State Forest
29.280000000000001,-29.600000000000001,29.440000000000001,-29.440000000000001,"6",Cobham State Forest
29.280000000000001,-29.440000000000001,29.440000000000001,-29.280000000000001,"7",Cobham State Forest
29.440000000000001,-29.760000000000002,29.600000000000001,-29.600000000000001,"9",Cobham State Forest
29.440000000000001,-29.600000000000001,29.600000000000001,-29.440000000000001,"10",Cobham State Forest
29.440000000000001,-29.440000000000001,29.600000000000001,-29.280000000000001,"11",Cobham State Forest
29.600000000000001,-29.600000000000001,29.759999999999998,-29.440000000000001,"14",Cobham State Forest
29.600000000000001,-29.440000000000001,29.759999999999998,-29.280000000000001,"15",Cobham State Forest
29.600000000000001,-29.760000000000002,29.759999999999998,-29.600000000000001,"13",Impendle Local Municipality
29.759999999999998,-29.760000000000002,29.920000000000002,-29.600000000000001,"16",Impendle Local Municipality
29.759999999999998,-29.600000000000001,29.920000000000002,-29.440000000000001,"17",Impendle Local Municipality
29.759999999999998,-29.440000000000001,29.920000000000002,-29.280000000000001,"18",Impendle Local Municipality
29.920000000000002,-29.760000000000002,30.079999999999998,-29.600000000000001,"19",Impendle Local Municipality
29.920000000000002,-29.600000000000001,30.079999999999998,-29.440000000000001,"20",Impendle Local Municipality
30.079999999999998,-29.760000000000002,30.240000000000002,-29.600000000000001,"22",Impendle Local Municipality
30.079999999999998,-29.600000000000001,30.240000000000002,-29.440000000000001,"23",Impendle Local Municipality
29.440000000000001,-29.920000000000002,29.600000000000001,-29.760000000000002,"8",Kwa Sani Local Municipality
29.600000000000001,-29.920000000000002,29.759999999999998,-29.760000000000002,"12",Kwa Sani Local Municipality
29.120000000000001,-30.080000000000002,29.280000000000001,-29.920000000000002,"25",Kwa Sani Local Municipality
29.280000000000001,-30.080000000000002,29.440000000000001,-29.920000000000002,"26",Kwa Sani Local Municipality
29.440000000000001,-30.080000000000002,29.600000000000001,-29.920000000000002,"27",Kwa Sani Local Municipality
29.600000000000001,-30.080000000000002,29.759999999999998,-29.920000000000002,"28",Kwa Sani Local Municipality
28.960000000000001,-30.720000000000002,29.120000000000001,-30.560000000000002,"29",Greater Kokstad Local Municipality
28.960000000000001,-30.240000000000002,29.120000000000001,-30.080000000000002,"32",Greater Kokstad Local Municipality
28.960000000000001,-30.080000000000002,29.120000000000001,-29.920000000000002,"33",Greater Kokstad Local Municipality
29.120000000000001,-30.720000000000002,29.280000000000001,-30.560000000000002,"34",Greater Kokstad Local Municipality
29.120000000000001,-30.560000000000002,29.280000000000001,-30.400000000000002,"35",Greater Kokstad Local Municipality
29.120000000000001,-30.400000000000002,29.280000000000001,-30.240000000000002,"36",Greater Kokstad Local Municipality
29.120000000000001,-30.240000000000002,29.280000000000001,-30.080000000000002,"37",Greater Kokstad Local Municipality
29.280000000000001,-30.720000000000002,29.440000000000001,-30.560000000000002,"38",Greater Kokstad Local Municipality
29.280000000000001,-30.560000000000002,29.440000000000001,-30.400000000000002,"39",Greater Kokstad Local Municipality
29.280000000000001,-30.400000000000002,29.440000000000001,-30.240000000000002,"40",Greater Kokstad Local Municipality
29.280000000000001,-30.240000000000002,29.440000000000001,-30.080000000000002,"41",Greater Kokstad Local Municipality
29.440000000000001,-30.720000000000002,29.600000000000001,-30.560000000000002,"42",Greater Kokstad Local Municipality
29.440000000000001,-30.560000000000002,29.600000000000001,-30.400000000000002,"43",Greater Kokstad Local Municipality
29.440000000000001,-30.400000000000002,29.600000000000001,-30.240000000000002,"44",Greater Kokstad Local Municipality
29.440000000000001,-30.240000000000002,29.600000000000001,-30.080000000000002,"45",Greater Kokstad Local Municipality
29.600000000000001,-30.720000000000002,29.759999999999998,-30.560000000000002,"46",Greater Kokstad Local Municipality
29.600000000000001,-30.560000000000002,29.759999999999998,-30.400000000000002,"47",Greater Kokstad Local Municipality
29.280000000000001,-29.280000000000001,29.440000000000001,-29.120000000000005,"50",Giants Castle Game Reserv
29.280000000000001,-29.120000000000005,29.440000000000001,-28.960000000000001,"51",Giants Castle Game Reserv
29.440000000000001,-29.280000000000001,29.600000000000001,-29.120000000000005,"52",Giants Castle Game Reserv
29.440000000000001,-29.120000000000005,29.600000000000001,-28.960000000000001,"53",Giants Castle Game Reserv
29.600000000000001,-29.280000000000001,29.759999999999998,-29.120000000000005,"54",Giants Castle Game Reserv
29.920000000000002,-29.440000000000001,30.079999999999998,-29.280000000000001,"21",uMngeni Local Municipality
30.079999999999998,-29.440000000000001,30.240000000000002,-29.280000000000001,"24",uMngeni Local Municipality
29.920000000000002,-29.280000000000001,30.079999999999998,-29.120000000000005,"57",uMngeni Local Municipality
30.079999999999998,-29.280000000000001,30.240000000000002,-29.120000000000005,"58",uMngeni Local Municipality
30.240000000000002,-29.760000000000002,30.399999999999999,-29.600000000000001,"59",uMngeni Local Municipality
30.240000000000002,-29.600000000000001,30.399999999999999,-29.440000000000001,"60",uMngeni Local Municipality
30.240000000000002,-29.440000000000001,30.399999999999999,-29.280000000000001,"61",uMngeni Local Municipality
30.399999999999999,-29.600000000000001,30.560000000000002,-29.440000000000001,"64",uMngeni Local Municipality
